22/12:14pm,100,1027.5
22/12:00pm,100,1027.9
22/11:30am,100,1028.3
22/11:00am,100,1028.5
22/10:30am,100,1028.8
22/10:00am,100,1028.9
22/09:30am,100,1028.8
22/09:00am,100,1028.7
22/08:30am,100,1028.5
22/08:00am,100,1028.5
22/07:30am,100,1028.3
22/07:00am,100,1028.1
22/06:30am,100,1027.8
22/06:00am,100,1027.7
22/05:30am,100,1027.4
22/05:00am,100,1027.3
22/04:30am,100,1027.2
22/04:00am,100,1027.1
22/03:30am,99,1027.1
22/03:00am,99,1027.2
22/02:30am,99,1027.2
22/02:00am,98,1027
22/01:30am,98,1027.2
22/01:29am,98,1027.3
22/01:00am,98,1027.3
22/12:30am,98,1027.5
22/12:00am,97,1027.7